kaufpreis,baujahr,Wohnung,Haus,fläche_m2,schlafzimmer,badezimmer,parkplätze,garten,stadt,Bevölkerung,Deutschland,Belgien,Luxemburg,Frankreich
59000,1805,0,1,100.0,3,1,1,1,OBERWEIS,578,1,0,0,0
149000,1819,0,1,199.0,5,1,1,1,RITTERSDORF,1444,1,0,0,0
395000,1878,0,1,225.0,4,1,5,1,BOLLENDORF,1679,1,0,0,0
87000,1878,0,1,238.0,3,1,3,1,WINTERSPELT,807,1,0,0,0
238000,1880,0,1,245.0,5,1,2,1,LIEG,426,1,0,0,0
219000,1890,0,1,130.0,3,2,2,1,BURBACH,14456,1,0,0,0
355000,1900,0,1,183.0,4,1,8,1,AMMELDINGEN BEI NEUERBURG,275,1,0,0,0
438000,1900,0,1,264.0,6,3,1,1,TABEN-RODT,870,1,0,0,0
175000,1900,0,1,160.0,5,2,1,0,WASSERLIESCH,2221,1,0,0,0
100000,1911,0,1,160.0,3,2,1,1,TABEN-RODT,870,1,0,0,0
389000,1912,0,1,148.0,3,2,1,1,BOLLENDORF,1679,1,0,0,0
349000,1920,0,1,140.0,3,1,2,1,WASSERLIESCH,2221,1,0,0,0
239000,1925,0,1,155.0,4,1,4,1,ZEMMER,2832,1,0,0,0
480000,1932,0,1,150.0,3,1,5,1,IRREL,1400,1,0,0,0
385000,1933,0,1,165.0,3,2,1,1,METTLACH,12475,1,0,0,0
670000,1940,0,1,275.0,3,3,2,1,NOHFELDEN,9878,1,0,0,0
670000,1940,0,1,275.0,3,3,2,1,NOHFELDEN,9878,1,0,0,0
670000,1940,0,1,275.0,3,3,2,1,NOHFELDEN,9878,1,0,0,0
310000,1945,1,0,106.0,3,2,1,0,ECHTERNACHERBRÜCK,704,1,0,0,0
105000,1952,0,1,140.0,6,2,1,1,NONNWEILER,9000,1,0,0,0
219000,1959,0,0,289.0,5,4,3,0,ERNZEN,429,1,0,0,0
339000,1960,0,1,270.0,4,2,2,1,RASCHEID,527,1,0,0,0
298800,1962,0,1,200.0,3,2,2,1,MALBERG,606,1,0,0,0
324700,1962,0,1,200.0,3,2,2,1,MALBERG,606,1,0,0,0
185000,1963,0,1,160.0,7,2,1,1,BURBACH,14456,1,0,0,0
215000,1967,0,1,280.0,4,4,2,0,NONNWEILER,9000,1,0,0,0
450000,1968,0,1,220.0,8,4,6,1,ERNZEN,429,1,0,0,0
483000,1972,0,1,340.0,11,4,2,1,WIERSDORF,229,1,0,0,0
499000,1973,0,1,220.0,4,2,2,0,PERL,7267,1,0,0,0
779000,1976,0,1,317.0,5,3,3,1,METTENDORF,1130,1,0,0,0
325000,1978,1,0,99.52,2,1,1,1,TRIER,110636,1,0,0,0
395000,1978,0,1,168.0,4,2,21,1,ZWEIFELSCHEID,40,1,0,0,0
425000,1981,0,1,256.0,5,3,3,1,SAARBURG,6293,1,0,0,0
469000,1983,0,1,160.0,2,2,1,0,SAARBRÜCKEN,178151,1,0,0,0
439000,1985,0,1,210.0,4,2,1,1,BOLLENDORF,1679,1,0,0,0
589500,1996,0,1,150.0,3,2,2,0,PERL,7267,1,0,0,0
127000,1996,1,0,52.0,1,1,1,0,METTLACH,12475,1,0,0,0
215000,1996,1,0,83.0,2,1,1,0,TRIER,110636,1,0,0,0
395000,2007,0,0,105.0,2,2,2,0,PERL,7267,1,0,0,0
670000,2007,0,1,165.0,5,1,4,1,BOLLENDORF,1679,1,0,0,0
1250000,2007,0,1,240.0,5,2,1,1,PALZEM,1408,1,0,0,0
335000,2008,1,0,105.0,2,1,1,0,PERL,7267,1,0,0,0
385000,2008,1,0,115.0,2,1,1,0,ECHTERNACHERBRÜCK,704,1,0,0,0
375000,2008,0,0,96.32,1,1,2,0,ECHTERNACHERBRÜCK,704,1,0,0,0
365000,2009,0,1,102.0,2,1,1,0,MERZIG,30770,1,0,0,0
599000,2010,0,1,350.0,4,2,4,1,GROßKAMPENBERG,162,1,0,0,0
769000,2010,0,1,130.0,2,3,2,1,SPEICHER,3108,1,0,0,0
689000,2012,0,1,140.0,3,1,6,1,PERL,7267,1,0,0,0
499000,2012,0,0,194.49,3,2,3,0,IRREL,1400,1,0,0,0
385000,2012,0,1,150.0,2,1,2,0,MERZIG,30770,1,0,0,0
280000,2013,1,0,132.0,2,1,1,0,SAARBRÜCKEN,178151,1,0,0,0
539000,2013,0,1,163.0,3,2,2,1,ARZFELD,1352,1,0,0,0
380000,2014,0,0,160.0,1,2,1,1,PERL,7267,1,0,0,0
650000,2015,0,1,150.0,3,1,1,1,NENNIG,1149,1,0,0,0
349000,2015,1,0,87.0,2,1,1,1,PERL-OBERPERL,483,1,0,0,0
2500000,2016,0,1,400.0,9,3,2,1,BLIESKASTEL,22422,1,0,0,0
965000,2016,0,0,197.0,5,2,2,0,TRIER,110636,1,0,0,0
535000,2017,0,1,150.0,4,2,2,1,METTLACH-TÜNSDORF,900,1,0,0,0
295000,2017,1,0,57.15,1,1,1,0,ECHTERNACHERBRÜCK,704,1,0,0,0
570000,2017,1,0,121.0,3,2,2,1,ECHTERNACHERBRÜCK,704,1,0,0,0
607000,2018,0,1,146.0,2,1,1,1,PERL-BESCH,1304,1,0,0,0
565000,2020,0,1,148.0,3,2,4,1,PERL,7267,1,0,0,0
294000,2020,1,0,100.0,1,1,2,0,TRIER,110636,1,0,0,0
2500000,2020,0,1,400.0,9,3,2,1,BLIESKASTEL,22422,1,0,0,0
565000,2020,0,1,160.0,3,1,1,1,BOLLENDORF,1679,1,0,0,0
380000,2020,0,0,160.0,1,2,1,1,PERL,7267,1,0,0,0
535000,2020,0,1,150.0,4,2,2,1,METTLACH-TÜNSDORF,900,1,0,0,0
575000,2020,0,1,162.0,3,1,1,1,BOLLENDORF,1679,1,0,0,0
295000,2020,0,0,90.0,2,1,2,0,NEWEL,2913,1,0,0,0
675000,2020,0,1,145.5,9,6,1,0,HOLSTHUM,566,1,0,0,0
475000,2020,0,1,180.0,3,1,2,1,PERL,7267,1,0,0,0
280000,2020,1,0,132.0,2,1,1,0,SAARBRÜCKEN,178151,1,0,0,0
254000,2020,0,1,119.0,3,2,1,1,PERL,7267,1,0,0,0
439593,2020,1,0,133.21,3,2,1,0,BITBURG,14002,1,0,0,0
425502,2020,1,0,135.08,3,2,1,0,BITBURG,14002,1,0,0,0
